title,company,city,province,country,posting_time,skills
"Sr. Machine Learning Engineer, Applied AI",TekML,Lahore,Punjab,Pakistan,5/4/2024,"['python', 'ai']"
Front End Developer (React + Figma),HireOn,Lahore,Punjab,Pakistan,5/4/2024,"['git', 'javascript', 'react']"
Deep Learning Voice Engineer,ibex,Lahore,Punjab,Pakistan,3/26/2024,"['python', 'tensorflow', 'git', 'ai', 'pytorch', 'nlp']"
Senior Data Science Engineer,ACE Money Transfer,Lahore,Punjab,Pakistan,3/7/2024,"['aws', 'azure', 'tableau', 'sql', 'hadoop']"
Lead AI Engineer,NorthBay Solutions,Lahore,Punjab,Pakistan,1/23/2024,"['python', 'tensorflow', 'ai', 'pytorch', 'nlp']"
Field Application Engineer,Sangfor Technologies,Lahore,Punjab,Pakistan,4/12/2024,[]
Staff/Senior Machine Learning Engineer (Computer Vision/LLM),10Pearls,Lahore,Punjab,Pakistan,4/16/2024,"['python', 'aws', 'azure', 'tensorflow', 'ai', 'pytorch']"
Python Developer,Pursue Today,Lahore,Punjab,Pakistan,5/6/2024,"['python', 'flask', 'django', 'git', 'sql']"
Senior Software Engineer/Python,Tkxel,Lahore,Punjab,Pakistan,4/19/2024,"['python', 'django', 'flask']"
"Artificial Intelligence Engineer, gt.school (Remote) - $100,000/year USD",Crossover,Lahore,Punjab,Pakistan,5/10/2024,"['ai', 'react', 'angular']"
ReactJS Developer,Integriti,Lahore,Punjab,Pakistan,4/16/2024,['javascript']
"GRADUATE SOFTWARE ENGINEER - Dubai, UAE",Cobblestone Energy,Lahore,Punjab,Pakistan,6/21/2023,"['python', 'flask', 'django', 'postgresql', 'css', 'jquery', 'mysql']"
"Artificial Intelligence Engineer, Trilogy (Remote) - $60,000/year USD",Crossover,Lahore,Punjab,Pakistan,5/10/2024,"['python', 'aws', 'ai']"
Embedded Python Developer,Dysol Pvt ltd,Lahore,Punjab,Pakistan,5/9/2024,['python']
Backend Python Developer,Data Doers,Lahore,Punjab,Pakistan,5/6/2024,[]
Software Engineer - Analytics,i2c Inc.,Lahore,Punjab,Pakistan,5/19/2023,['python']
Software Back End Developer,ibex. Pakistan,Lahore,Punjab,Pakistan,5/9/2024,"['python', 'aws', 'postgresql', 'mysql', 'docker']"
Software Engineer - Product Operations,i2c Inc.,Lahore,Punjab,Pakistan,5/6/2024,"['sql', 'jira']"
Principal AI Engineer,CureMD,Lahore,Punjab,Pakistan,3/18/2024,['ai']
Associate Software Engineer,Dubizzle Labs,Lahore,Punjab,Pakistan,3/2/2024,['javascript']
"AI Software Engineer, Skyvera (Remote) - $60,000/year USD",Crossover,Lahore,Punjab,Pakistan,5/10/2024,['ai']
